time (s),X (m),Y (m),Z (m),phi (rad),theta (rad),psi (rad),v_x (m/s),v_y (m/s),v_z (m/s),phi_dot (rad/s),theta_dot (rad/s),psi_dot (rad/s)
1.5625,0.6067973465499682,0.3045794071819446,0.9293910076278201,-0.056656563619514266,0.10933485847811161,-0.018433087863477287,1.1525512016808461,0.5764705451254916,1.1296070423268005,0.026141833417833115,-0.04917001238711942,0.003078446774896835
1.625,0.6810069155127346,0.34168880391299006,1.0006619975037583,-0.05480365858195124,0.10584753784215291,-0.018175443890778027,1.221782298930146,0.6108427668596014,1.1511154074129868,0.03314666763899714,-0.06242497910660684,0.0051573975770190204
1.6875,0.7594574266380856,0.3809033609120878,1.0731871505281838,-0.05252405136710235,0.10154908725818723,-0.017797992217567452,1.2881764577064878,0.6437940725193879,1.1697494850555719,0.0397959341334963,-0.07512632930433369,0.006910786815392202
1.75,0.8419564798662273,0.42212687970050083,1.1467893086238474,-0.04984145254609763,0.09647673298525297,-0.01732228333560944,1.351255591414407,0.6750902978834391,1.1855867995194296,0.046042524522219665,-0.08719003247622333,0.008300503384767793
1.8125,0.9282828643049535,0.4652490475497965,1.221296428688237,-0.04678223218054285,0.09067271295755629,-0.0167718798631038,1.410576281425626,0.704514157351995,1.1987133342074778,0.051848432917771636,-0.0985397449235128,0.009300284683892934
1.875,1.0181887804887386,0.510146517936606,1.2965420354098744,-0.04337486501316968,0.08418380802957662,-0.016171612896657507,1.4657314831192492,0.7318660322963898,1.2092211734434408,0.057184272618278784,-0.10910643760048713,0.009895800056452176
1.9375,1.1114021549041089,0.5566840342285562,1.372365540594887,-0.0396494145852038,0.07706089539030873,-0.015546842977631035,1.516351779352024,0.7569645690165173,1.2172065875033982,0.062028518815680445,-0.11882805861153845,0.010084422352236565
2.0,1.2076290205131477,0.6047155855748986,1.448612456167265,-0.03563707164481066,0.06935852182428125,-0.014922743887966569,1.5621062457107948,0.7796471139060286,1.2227685419397607,0.06636653477287727,-0.1276492353371881,0.009874728840552743
2.0625,1.3065559409372203,0.6540855856174832,1.5251345264496705,-0.031369758411612055,0.061134494398224715,-0.014323624678045719,1.6027029888300097,0.7997700107782063,1.226007600692285,0.0701894450430222,-0.1355210143991952,0.009285779951940331
2.125,1.4078524596783437,0.7046300661160665,1.6017898031806226,-0.02687980614140293,0.05244948619609658,-0.01377230239412557,1.6378894152827856,0.8172087827225794,1.2270251849818057,0.07349292355206004,-0.14240063987846008,0.008346221030323831
2.1875,1.5111735592123043,0.7561778788996135,1.6784426841645632,-0.022199709228736722,0.043366654751487724,-0.013289535226455634,1.667452284068918,0.8318582183088671,1.2259231443797438,0.07627596293690629,-0.14825136854634208,0.007093249597105577
2.25,1.6161621179485275,0.8085519007167143,1.7549639336085825,-0.017361955059899396,0.0339512709196531,-0.012893523311211868,1.6912175907681897,0.8436323795173204,1.2228035929362044,0.07853968726084087,-0.1530423203745047,0.005571485102238859
2.3125,1.7224513558920123,0.861570236571926,1.8312306991853782,-0.012398925147274278,0.024270356053087395,-0.01259948231425149,1.7090503261424799,0.8524645464875962,1.2177689612245832,0.08028626360018723,-0.1567483621658592,0.0038317714799172573
2.375,1.829667262345776,0.9150474180110579,1.9071265377571047,-0.007342859855707766,0.014392325489049446,-0.012419293250212224,1.7208541464811327,0.8583071120679274,1.2109222142364242,0.08151795995245321,-0.1593500218364067,0.0019299357656639225
2.4375,1.937431001148511,0.9687955935684892,1.982541458558656,-0.0022258763370392298,0.004386636513533526,-0.012361230752652006,1.7265709873845008,0.8611314372190612,1.2023671849440924,0.08223638819447891,-0.16083343081565288,-7.448082569914613e-05
2.5,2.045361290746229,1.0226257092245077,2.0573719895213354,0.00291997285346511,-0.005676560934883059,-0.012429771213573818,1.7261806470113015,0.860927676564834,1.1922089740209547,0.08244196192185374,-0.16119029392422135,-0.002119510154824398
2.5625,2.1530767578444867,1.0763486772493875,2.1315212693037227,0.008062614576082334,-0.015726772118217654,-0.012625481524977774,1.7197003591252675,0.8577045817393538,1.1805543656179889,0.082133590234088,-0.16041787328669527,-0.004142049883144192
2.625,2.2601982644829293,1.129776532238908,2.2048991646504565,0.013169858519380686,-0.025693505736404432,-0.012944989300322375,1.7071843705762446,0.851489288584331,1.1675122150425632,0.08130861984317697,-0.15851901670230045,-0.006079179031962104
2.6875,2.3663512090915666,1.1827235734738835,2.2774224097251206,0.01820930488185538,-0.035506623793549894,-0.01338103506342689,1.6887235316038673,0.842327092641877,1.1531937573130282,0.07996302945690356,-0.1555021813796338,-0.007869466351482933
2.75,2.4711678024336066,1.2350074929597987,2.349014761202093,0.02314827196764622,-0.04509669404731203,-0.013922606630726022,1.6644449016317988,0.8302812156280861,1.1377127960549671,0.07809187173941176,-0.15138149286878472,-0.009454292989649143
2.8125,2.5742893193031966,1.2864504886098413,2.419607160258498,0.02795375876873889,-0.05439534673510137,-0.014555156165349714,1.6345113666393354,0.8154325636150598,1.1211857286756315,0.07568994903387274,-0.1461768230041949,-0.01077917588448313
2.875,2.675368326390718,1.3368803620114769,2.4891378899625134,0.03259245645555491,-0.06333563682226036,-0.015260899700574208,1.5991212574761775,0.7978794754186344,1.10373136725704,0.07275269984873932,-0.13991388870709554,-0.011795083520428157
