time (s),U_1 (N),U_2 (N),U_3 (N),U_4 (N)
3.5,3.672664252140476,5.386210196923195,5.791398039473983,4.3010946820089515
3.5625,3.6551957396881956,5.400500436398246,5.80629177116481,4.298615834551551
3.625,3.648356151797186,5.406970716173596,5.813824850146988,4.297548947426381
3.6875,3.6527505602197836,5.404810049518468,5.8131336898310035,4.29781826195485
3.75,3.66894383792897,5.393244436324133,5.803231857052493,4.2994226472868355
3.8125,3.697455549434626,5.371546607106049,5.783001657519488,4.302449371554509
3.875,3.7387560150173664,5.339045369332924,5.75118779787639,4.307087434430585
3.9375,3.7932638263497367,5.295134566555299,5.706393502034995,4.313640025022512
4.0,3.8613451077352696,5.239281707073115,5.647079495315246,4.322535604251157
4.0625,3.9433148608625754,5.171036327583779,5.571566359037811,4.334337045169797
4.125,4.03944061883254,5.090038092254053,5.478041062612322,4.349748264064352
4.1875,4.149949082842155,4.996024565462541,5.364568531004303,4.369617538619482
4.25,4.275035814538158,4.8888382865679905,5.229110156457494,4.3949368157026925
4.3125,4.4148788300630155,4.768432700460059,5.069551275670786,4.426835807829259
4.375,4.569656387475632,4.634876094250949,4.8837410219571185,4.466569533502424
4.4375,4.739567799140326,4.488353244868269,4.669550444856425,4.515496561079458
4.5,4.924865607052886,4.32915838681516,4.424945196672831,4.575051413555191
4.5625,5.125881414523364,4.157685381087201,4.148097378077194,4.646699396572743
4.625,5.3430620978218535,3.9744033441088398,3.837523297879797,4.731882136994577
4.6875,5.577004220908567,3.779819087339291,3.4922628712398285,4.831946512634882
4.75,5.828483873140277,3.5744219121060357,3.1121014885389884,4.948057279705043
4.8125,6.098474803058654,3.3586076475467403,2.6978323864034843,5.0810938102304855
4.875,6.388145302949964,3.13257944125135,2.2515491998440953,5.231533327018285
4.9375,6.698815244310949,2.896225575504257,1.7769490761173141,5.399327540636474
