time (s),X (m),Y (m),Z (m),phi (rad),theta (rad),psi (rad),v_x (m/s),v_y (m/s),v_z (m/s),phi_dot (rad/s),theta_dot (rad/s),psi_dot (rad/s)
2.4250000000000003,1.2754707793938128e-11,1.27547065492685e-11,-25.904153108864538,-2.3872295078236116e-11,2.3872298041853128e-11,3.3838433273551146e-19,2.03848157185192e-11,2.038481336520354e-11,-21.364249990552555,-1.7475463787960153e-11,1.74754660335816e-11,3.8486982820988795e-19
2.45,1.3271833925843835e-11,1.3271832621409426e-11,-26.441012483629017,-2.431057477847583e-11,2.4310577795405253e-11,3.4809344001616442e-19,2.0987101015259463e-11,2.0987098587165384e-11,-21.584499990605522,-1.7586912231214108e-11,1.7586914250593853e-11,3.91863959184467e-19
2.475,1.3804154443660959e-11,1.3804153077576003e-11,-26.983378108394874,-2.475162346150356e-11,2.475162652948357e-11,3.5797776125242945e-19,2.1600378129087538e-11,2.1600375624924275e-11,-21.804749990663197,-1.7696982411006534e-11,1.769698447566506e-11,3.988884976830066e-19
2.5,1.4351945004573003e-11,1.4351943574919785e-11,-27.531249983162233,-2.5195406689332022e-11,2.5195409808928724e-11,3.6803805997646583e-19,2.2224715857029596e-11,2.2224713275511246e-11,-22.02499999072567,-1.7805675815271466e-11,1.7805677879953824e-11,4.0594027659621073e-19
2.5250000000000004,1.491548297493208e-11,1.4915481479760678e-11,-28.08462810793122,-2.5641890058735168e-11,2.564189322822089e-11,3.7827495746356806e-19,2.2860182135673312e-11,2.2860179475523534e-11,-22.245249990793017,-1.791299373698283e-11,1.791299566341477e-11,4.130184810654742e-19
2.5500000000000003,1.5495047408757337e-11,1.5495045846086498e-11,-28.643512482701947,-2.6091039192772266e-11,2.6091042412210392e-11,3.886889295988104e-19,2.350684404192029e-11,2.3506841301905398e-11,-22.465499990865325,-1.8018936985988084e-11,1.8018939055747263e-11,4.2011956736352774e-19
2.575,1.609091902625245e-11,1.6090917394069747e-11,-29.207903107474547,-2.6542819748426296e-11,2.6542823016874666e-11,3.9928087917354543e-19,2.416476779375731e-11,2.416476497262102e-11,-22.685749990942682,-1.8123507466333125e-11,1.812350931738994e-11,4.2724315043158624e-19
2.6,1.670338019234236e-11,1.6703378488604915e-11,-29.777799982249146,-2.6997197415405155e-11,2.6997200730099022e-11,4.1005111758903777e-19,2.483401875104705e-11,2.4834015847609496e-11,-22.90599999102518,-1.822670589198546e-11,1.8226707740551735e-11,4.343866354410752e-19
2.625,1.733271489523073e-11,1.7332713117866454e-11,-30.353203107025873,-2.7454137911764738e-11,2.7454141272484486e-11,4.210002159237848e-19,2.5514661416338685e-11,2.551465842944543e-11,-23.126249991112907,-1.8328533816783653e-11,1.8328535650288107e-11,4.415476712393982e-19
2.6500000000000004,1.797920872497695e-11,1.7979206871885168e-11,-30.934112481804856,-2.7913606992034333e-11,2.791361039818346e-11,4.321287023927378e-19,2.6206759435699244e-11,2.6206756364205783e-11,-23.346499991205956,-1.842899260478007e-11,1.842899440562397e-11,4.487250059074541e-19
