time (s),U_1 (N),U_2 (N),U_3 (N),U_4 (N)
2.875,4.282815961907126,4.9979934314967895,5.362704776450022,4.447408224543404
2.9375,4.196621120877752,5.0448558254812905,5.422459424834698,4.419420530308724
3.0,4.1141907501589925,5.0918871245836534,5.479308292339799,4.394951003586922
3.0625,4.036188664133821,5.13842646710081,5.5329679687540265,4.373833983353057
3.125,3.963296956048832,5.18376463727033,5.583147623731708,4.355871897263616
3.1875,3.8962120918758547,5.227148863544668,5.629539968088189,4.340841659355299
3.25,3.8356403397408876,5.267788756226815,5.671811035664677,4.328502123861941
3.3125,3.7822925492959247,5.304863356767511,5.709588904927648,4.318602604620853
3.375,3.736878335551481,5.33752921108824,5.7424515534995875,4.3108924424346435
3.4375,3.700099765979126,5.364929322352761,5.769914111018043,4.305131574549862
3.5,3.6726446946397986,5.386202791165208,5.791415839187341,4.301102030530856
3.5625,3.6551799292255724,5.400494919085752,5.806307216156665,4.29862024612237
3.625,3.6483444531891727,5.40696753912468,5.813837530965925,4.297550049813803
3.6875,3.6527429534014257,5.404809347025882,5.8131434016813,4.2978161344293415
3.75,3.6689399230785984,5.393246039706907,5.803238621207236,4.299417777286442
3.8125,3.6974546206846814,5.371550119192212,5.78300571540139,4.3024425170425085
3.875,3.738757170598484,5.3390502851878185,5.75118958137879,4.3070794336460345
3.9375,3.7932660949067216,5.295140406458259,5.706393576693343,4.31363161044033
4.0,3.8613475736544705,5.239288115585858,5.647078474178978,4.322527284635843
4.0625,3.943316749622225,5.171043095308668,5.5715648094423775,4.334329112965926
4.125,4.0394414279541655,5.090045097556897,5.478039359831368,4.349740890079318
4.1875,4.149948570767466,4.9960316393438156,5.364566839379559,4.369610952126648
4.25,4.275034043740495,4.888845136571008,5.2291084059901305,4.394931368800616
4.3125,4.414876114747912,4.768438955997169,5.0695492764004335,4.426831865127935
4.375,4.569653197541616,4.63488148204626,4.883738627442661,4.466567214581897
4.4375,4.739566222596185,4.488356814141496,4.669545978692082,4.5154966129933065
4.5,4.924865730974807,4.329160154887042,4.424939278689925,4.575053303631016
4.5625,5.125883236618875,4.157685369959921,4.14809073015017,4.646702534395303
4.625,5.343065485354585,3.9744016810170693,3.837516640219804,4.7318858868194145
4.6875,5.5770088517568,3.7798161062147817,3.492256784180616,4.83195026756843
4.75,5.828489188178355,3.57441820818687,3.1120962937343397,4.948060573515962
4.8125,6.098480011666748,3.3586040311679057,2.6978281351586926,5.081096400328248
4.875,6.388149256509929,3.132576808547109,2.2515459323676645,5.231535240998725
4.9375,6.698822617910285,2.8962229726294932,1.77694466024878,5.399327278542618
